,Unnamed: 0,date,song_ranking,song_name,song_artist,peakPos,lastPos,weeks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalnes,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_id,artist_genres,artist_followers,artist_popularity
18000,0,2015-01-01,1,Blank Space,Taylor Swift,1,1,8,0.752,0.6779999999999999,5.0,-5.421,1.0,0.0646,0.085,1.64e-06,0.13,0.583,96.009,audio_features,1p80LdxRV74UKvL8gnD7ky,spotify:track:1p80LdxRV74UKvL8gnD7ky,https://api.spotify.com/v1/tracks/1p80LdxRV74UKvL8gnD7ky,https://api.spotify.com/v1/audio-analysis/1p80LdxRV74UKvL8gnD7ky,231827.0,4.0,06HL4z0CvFAxyc27GXpf02,"pop, post-teen pop",39272089.0,98.0
18001,1,2015-01-01,2,Take Me To Church,Hozier,2,2,19,0.5660000000000001,0.664,4.0,-5.303,0.0,0.0464,0.634,0.0,0.11599999999999999,0.43700000000000006,128.945,audio_features,1CS7Sd1u5tWkstBhpssyjP,spotify:track:1CS7Sd1u5tWkstBhpssyjP,https://api.spotify.com/v1/tracks/1CS7Sd1u5tWkstBhpssyjP,https://api.spotify.com/v1/audio-analysis/1CS7Sd1u5tWkstBhpssyjP,241693.0,4.0,2FXC3k01G6Gw61bmprjgqS,"irish singer-songwriter, modern rock, pop",4634501.0,82.0
18002,2,2015-01-01,3,Uptown Funk!,Mark Ronson Featuring Bruno Mars,3,3,6,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.149999999999999e-05,0.0344,0.9279999999999999,114.988,audio_features,32OlwWuMpZ6b0aN2RZOeMS,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667.0,4.0,,,,
18003,3,2015-01-01,4,Thinking Out Loud,Ed Sheeran,4,6,11,0.7809999999999999,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,audio_features,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560.0,4.0,6eUKZXaKkcviH0Ku9w2n3V,"pop, uk pop",79517970.0,93.0
18004,4,2015-01-01,5,Lips Are Movin,Meghan Trainor,4,4,9,0.775,0.825,7.0,-5.402,1.0,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,audio_features,6gj08XDlv9Duc2fPOxUmVD,spotify:track:6gj08XDlv9Duc2fPOxUmVD,https://api.spotify.com/v1/tracks/6gj08XDlv9Duc2fPOxUmVD,https://api.spotify.com/v1/audio-analysis/6gj08XDlv9Duc2fPOxUmVD,182667.0,4.0,6JL8zeS1NmiOftqZTRgdTz,"dance pop, hip pop, pop, post-teen pop",10355355.0,80.0
18005,5,2015-01-01,6,I'm Not The Only One,Sam Smith,5,5,16,0.575,0.192,1.0,-17.514,1.0,0.0573,0.992,0.961,0.113,0.41700000000000004,141.861,audio_features,5hO5U3Djps5hAUYHYlu56m,spotify:track:5hO5U3Djps5hAUYHYlu56m,https://api.spotify.com/v1/tracks/5hO5U3Djps5hAUYHYlu56m,https://api.spotify.com/v1/audio-analysis/5hO5U3Djps5hAUYHYlu56m,181826.0,4.0,2wY79sveU1sp5g7SokKOiI,"dance pop, pop, post-teen pop, uk pop",16306985.0,88.0
18006,6,2015-01-01,7,Love Me Harder,Ariana Grande & The Weeknd,7,9,11,0.47200000000000003,0.7140000000000001,1.0,-4.388999999999999,0.0,0.0334,0.00937,0.0,0.0764,0.24,98.992,audio_features,5J4ZkQpzMUFojo1CtAZYpn,spotify:track:5J4ZkQpzMUFojo1CtAZYpn,https://api.spotify.com/v1/tracks/5J4ZkQpzMUFojo1CtAZYpn,https://api.spotify.com/v1/audio-analysis/5J4ZkQpzMUFojo1CtAZYpn,236133.0,4.0,,,,
18007,7,2015-01-01,8,Jealous,Nick Jonas,8,11,15,0.684,0.71,11.0,-3.614,0.0,0.0779,0.0132,0.0,0.444,0.451,93.007,audio_features,5NQJnRpJHRaupdegphntQT,spotify:track:5NQJnRpJHRaupdegphntQT,https://api.spotify.com/v1/tracks/5NQJnRpJHRaupdegphntQT,https://api.spotify.com/v1/audio-analysis/5NQJnRpJHRaupdegphntQT,222187.0,4.0,4Rxn7Im3LGfyRkY2FlHhWi,"dance pop, pop, post-teen pop, viral pop",7302632.0,76.0
18008,8,2015-01-01,9,Animals,Maroon 5,3,8,18,0.27899999999999997,0.742,4.0,-6.46,0.0,0.0898,0.000185,0.0,0.593,0.32799999999999996,189.868,audio_features,2bL2gyO6kBdLkNSkxXNh6x,spotify:track:2bL2gyO6kBdLkNSkxXNh6x,https://api.spotify.com/v1/tracks/2bL2gyO6kBdLkNSkxXNh6x,https://api.spotify.com/v1/audio-analysis/2bL2gyO6kBdLkNSkxXNh6x,231013.0,4.0,04gDigrS5kc9YWfZHwBETP,"pop, pop rock",30566552.0,91.0
18009,9,2015-01-01,10,All About That Bass,Meghan Trainor,1,7,24,0.807,0.887,9.0,-3.7260000000000004,1.0,0.0503,0.0573,2.87e-06,0.124,0.961,134.05200000000002,audio_features,5jE48hhRu8E6zBDPRSkEq7,spotify:track:5jE48hhRu8E6zBDPRSkEq7,https://api.spotify.com/v1/tracks/5jE48hhRu8E6zBDPRSkEq7,https://api.spotify.com/v1/audio-analysis/5jE48hhRu8E6zBDPRSkEq7,187920.0,4.0,6JL8zeS1NmiOftqZTRgdTz,"dance pop, hip pop, pop, post-teen pop",10355355.0,80.0
